Tag;Stunde;SUM_GS200;AVG_TA200
30.12.2018;02:00;,00;2,09
30.12.2018;03:00;,00;1,76
30.12.2018;04:00;,00;2,24
30.12.2018;05:00;,00;2,96
30.12.2018;06:00;,00;3,29
30.12.2018;07:00;,00;3,25
30.12.2018;08:00;,00;3,19
30.12.2018;09:00;15,27;3,16
30.12.2018;10:00;46,83;3,22
30.12.2018;11:00;74,37;3,86
30.12.2018;12:00;100,77;4,25
30.12.2018;13:00;86,60;4,56
30.12.2018;14:00;83,17;4,80
30.12.2018;15:00;34,58;4,79
30.12.2018;16:00;,00;4,62
30.12.2018;17:00;,00;4,13
30.12.2018;18:00;,00;3,84
30.12.2018;19:00;,00;3,82
30.12.2018;20:00;,00;3,96
30.12.2018;21:00;,00;4,04
30.12.2018;22:00;,00;4,13
30.12.2018;23:00;,00;3,89
31.12.2018;00:00;,00;4,11
31.12.2018;01:00;,00;3,96
31.12.2018;02:00;,00;3,90
31.12.2018;03:00;,00;3,94
31.12.2018;04:00;,00;4,10
31.12.2018;05:00;,00;4,11
31.12.2018;06:00;,00;4,14
31.12.2018;07:00;,00;4,27
31.12.2018;08:00;,00;4,25
31.12.2018;09:00;23,03;4,67
31.12.2018;10:00;48,30;5,12
31.12.2018;11:00;68,98;5,32
31.12.2018;12:00;105,92;5,82
31.12.2018;13:00;100,57;6,51
31.12.2018;14:00;54,83;6,49
31.12.2018;15:00;36,98;6,44
31.12.2018;16:00;,00;6,48
31.12.2018;17:00;,00;6,33
31.12.2018;18:00;,00;6,18
31.12.2018;19:00;,00;6,02
31.12.2018;20:00;,00;6,01
31.12.2018;21:00;,00;6,02
31.12.2018;22:00;,00;5,96
31.12.2018;23:00;,00;5,85
01.01.2019;00:00;,00;5,75
01.01.2019;01:00;,00;5,71
01.01.2019;02:00;,00;5,72
01.01.2019;03:00;,00;5,49
01.01.2019;04:00;,00;5,41
01.01.2019;05:00;,00;5,46
01.01.2019;06:00;,00;5,68
01.01.2019;07:00;,00;5,53
01.01.2019;08:00;,00;5,21
01.01.2019;09:00;29,47;5,20
01.01.2019;10:00;23,05;5,31
01.01.2019;11:00;32,42;5,29
01.01.2019;12:00;52,17;5,16
01.01.2019;13:00;53,47;5,72
01.01.2019;14:00;33,55;6,10
01.01.2019;15:00;13,47;6,11
01.01.2019;16:00;,00;5,99
01.01.2019;17:00;,00;5,68
01.01.2019;18:00;,00;5,73
01.01.2019;19:00;,00;5,73
